Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image
4/7/16,@_mcisneros19,Mirella Cisneros,"Building a nature wall sounds like a good idea for Elon Elem. ""Children and nature go together—or should.""#EnviroEd https://t.co/Byf2K8Xt1t",7.18E+17,Twitter Web Client,9,44,0,0,No,2/4/16,,,View
4/17/16,@_mcisneros19,Mirella Cisneros,"""What's the relationship between School & Mother Nature?"" What do we want that relationship to be like? #EnviroEd",7.22E+17,Twitter Web Client,11,45,0,0,No,2/4/16,,,View
4/26/16,@_mcisneros19,Mirella Cisneros,🍓 plants in the bed. Squash & cucumber seeds in the clear cups. Tuesday fun! #LivingtheEnviroEdLife #EnviroEd https://t.co/rg9kvvVpBr,7.25E+17,Twitter for iPhone,12,45,0,0,No,2/4/16,,,View
4/27/16,@_mcisneros19,Mirella Cisneros,A1: These learners lack interest in the eniro. therefore we need to create those experiences that connect them back with nature. #EnviroEd,7.25E+17,TweetDeck,12,46,0,3,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
4/27/16,@_mcisneros19,Mirella Cisneros,"A3 Its import. to create a connection to nature 1st before incorp tech,finding their connection to nature will mayb dec. tech. use #EnviroEd",7.26E+17,TweetDeck,13,46,0,0,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
4/27/16,@_mcisneros19,Mirella Cisneros,"A4: Having a balance is import. using tech is fun & capt. ss attention, but it cannot be the primary focus, adven. in nature is #EnviroEd",7.26E+17,TweetDeck,13,46,0,1,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
4/27/16,@_mcisneros19,Mirella Cisneros,"A5: In my #EnviroEd class, twitter has allowed me to learn what others are doing in enviroed.",7.26E+17,TweetDeck,13,46,0,1,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
4/28/16,@_mcisneros19,Mirella Cisneros,"@doctormorrison Today at my nature journaling spot, I saw a frog, a fish, a SNAKE😳, and not 1, or 2 but 3 turtles! #EnviroEd",7.26E+17,Twitter Web Client,13,47,0,1,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
5/11/16,@_mcisneros19,Mirella Cisneros,Yesterday at the garden club. We harvested and painted😊 It was a successful last day #EnviroEd https://t.co/FUGGVKw0t3,7.30E+17,Twitter for iPhone,12,47,0,0,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
5/11/16,@_mcisneros19,Mirella Cisneros,#EnviroEd? 😄@doctormorrison @sgilley12 @DannyBavis @amk_elon @paigebl213 https://t.co/qyKFNtkFSM,7.30E+17,Twitter for iPhone,12,47,0,2,No,2/4/16,"Elon, NC",Elon University | Class of 2019 | Middle Grades Education Major | Empowering students every step of the way,View
4/25/16,@_swatik_,Swati p,RT @EnviroEducators: Interested in environmental education? Come to EcoLinks May 13 2016 @JackSmytheFC #EnviroEd for educators https://t.co…,7.25E+17,Twitter for Android,6,36,4,0,No,1/20/14,,Let's Google it...,View
3/12/16,@_withah,Sarah,"RT @ItsAboutTimeEDU: Scientists mimic Mars soil conditions, successfully grow crops 🌿🌳🌽https://t.co/bQ72PxV2Gg #enviroed #agriculture #STEM…",7.09E+17,Twitter for Android,130,862,1,0,No,2/27/16,,"I like words, nerds & curiosity ✨| views are my own, although clearly they should be everyones... (my employer would probably disagree with me a bit)",View
3/12/16,@02Benson,Benson,RT @GreeningForward: Our CEO @COrgbon is still monitoring the #eePRO board #diversity in the #enviroed! Check it out before Monday! https:/…,7.09E+17,Twitter for Android,363,467,2,0,No,6/13/15,KC✈DC ✈Connecticut,"#Adulting, nature, hip-hop, politics, marketing & lots of Royals baseball. Opinions ≠ employer's. #BLM #OABAAB #KCMO #YBG",View
5/29/16,@109ThornKs,Beyond 4walls,RT @RangerRidley: The Outdoors. The Ultimate #MakerSpace #EnviroEd https://t.co/FiF2OJfHhY,7.37E+17,Twitter for iPad,1056,253,3,0,No,7/31/13,Mississauga,"Laurel & Pooneh's class. We are an FDK class at Thornwood PS, exploring our world, making sense & sharing our discoveries.",View
4/29/16,@1915Aurora,Aurora,RT @JasonSohigian: Our new #GetRooted video just premiered at #AGBU school @ArmeniaTree @CivilNetTV #Armenia #EnviroEd https://t.co/NXLn1Ud…,7.26E+17,Twitter for iPhone,786,1331,4,0,No,3/13/15,United States,In Loving Memory of Aurora Mardiganian http://t.co/2pex6jNveX - The Story of a Survivor of the #ArmenianGenocide,View
5/13/16,@1915Aurora,Aurora,RT @ArmeniaTree: Check out our new 9-minute #youth video - we're #BuildingBridges btwn #Armenia & #Diaspora thru #EnviroEd https://t.co/wCR…,7.31E+17,Twitter for iPhone,850,1466,5,0,No,3/13/15,United States,In Loving Memory of Aurora Mardiganian http://t.co/2pex6jNveX - The Story of a Survivor of the #ArmenianGenocide,View
4/23/16,@1GratefulWorld,One Grateful World,"RT @CNC90: K's and Gr.8's come together to talk about ""saving water"" #Earthweek #EnviroEd @fatim_to @MrsEimers @OLVPrincipal https://t.co/M…",7.24E+17,TestGratefulWorld123,229,242,5,0,No,3/30/16,,,View
3/15/16,@1stof7gens,Energy & Enviro CBE,RT @GEOEC: AB Climate Leadership with @RachelNotley on Livestream Mar 16 at 10:30am https://t.co/laxCQilswp @AlbertaEE @cgeducation #enviro…,7.10E+17,Twitter Web Client,137,381,3,0,No,10/8/14,"Calgary, AB ",Join our high school class! We are a group of Calgary students seeking to set the path towards the 7th Generation Principle. @adamrobb,View
3/17/16,@1stof7gens,Energy & Enviro CBE,RT @AlbertaEE: Student are producing a white paper on climate leadership in schools to share with premier. #enviroed @1stof7gens https://t.…,7.11E+17,Twitter Web Client,137,381,4,0,No,10/8/14,"Calgary, AB ",Join our high school class! We are a group of Calgary students seeking to set the path towards the 7th Generation Principle. @adamrobb,View
3/15/16,@2015_Project,Project 2015,RT @ArmeniaTree: ATP Scales Up Environmental Education with New Coalition of Partners @Asbarez https://t.co/MneoHGiHNG #EnviroEd #Armenia #…,7.10E+17,Twitter for iPhone,316,148,2,0,No,10/31/14,,"We organized a mass fly-in of Armenians from around the world to Istanbul for Centennial of the Armenian Genocide Commemorative events, 22-24 April 2015.",View
3/25/16,@22C0in,22c0in,RT @EPA: Teachers - are you thinking about #EarthDay yet? Find activities for your classroom: https://t.co/TBQ5IEhhDl #EnviroEd #HowDoYouEa…,7.13E+17,Twitter for Android,600,1099,19,0,No,7/6/10,,,View
4/16/16,@2LisaMayer,Lisa Mayer,Ready for a nature inspired day @EnviroEducators #OSEE-PD #EnviroEd https://t.co/yupJ50mMBF,7.21E+17,Twitter for iPhone,41,66,1,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,Bonnie is awesome! @EnviroEducators #OSEE-PD #EnviroEd https://t.co/GHllxxa5g4,7.21E+17,Twitter for iPhone,41,67,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,THANK YOU JACOB @FreeSeedsTO for sharing your knowledge on seeds/seed libraries @EnviroEducators #OSEE-PD #EnviroEd https://t.co/iCqvTktPsC,7.21E+17,Twitter for iPhone,42,67,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,Learning Bow Drill Fire Starting and building a Wigwam with PVC conduit pipe @EnviroEducators #OSEE-PD #EnviroEd https://t.co/PizQbUJagE,7.22E+17,Twitter for iPhone,43,67,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,"Project Wet Canada: fun, hands-on, inquiry based K - 12 water education program @EnviroEducators #EnviroEd #OSEE-PD https://t.co/59MqOy4tej",7.22E+17,Twitter for iPhone,43,67,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,Pre-order: Canadian Outdoor Learning guide: The Big Book of Nature Activities! @EnviroEducators #EnviroEd #OSEE-PD https://t.co/whJoppKWgt,7.22E+17,Twitter for iPhone,43,69,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
4/16/16,@2LisaMayer,Lisa Mayer,Thanks @actionbonnie for your infectious enthusiasm & nature activity ideas! @EnviroEducators #EnviroEd #OSEE-PD https://t.co/ecObuDXbae,7.22E+17,Twitter for iPhone,43,69,0,0,No,6/9/15,"Niagara, Ontario","Continuing my journey as a Kindergarten teacher & life-long learner: Reggio-inspired, nature-inspired, & embrace inquiry based learning, the Arts and STEAM",View
3/20/16,@2teacherstshirt,2 Teachers T-shirts,Found your group and wanted to share a fundraiser that could help your efforts! https://t.co/ee0RNSZqcH #EnviroEd https://t.co/wgVc1dP5xP,7.12E+17,Twitter Web Client,499,659,0,1,No,7/14/09,USA,"Custom screen-printing, embroidery, and design for schools, organizations, coaches, kids, parents, teachers, and the people and businesses who support them. :)",View
5/3/16,@3PennyMovies,3PP Movies,RT @Sierra_BC: Learn about the grasslands of the Peace Valley in a new blog from our #enviroed team: https://t.co/7k63mrjpcX #SiteC https:/…,7.28E+17,Twitter Web Client,10273,10669,11,0,No,10/18/10,Victoria BC Canada,"Sharing movie finds, quotes, links; on themes of art, artistic freedom, philosophy, science and anti-censorship. Tweets by JSL.",View
4/19/16,@3wlittlefalls,3W Little Falls,RT @MahaffyStars: Next week! @3wlittlefalls @juliasilcox #Readingrocks #scienceeducation #EnviroEd https://t.co/cmgfctoRlh,7.23E+17,Twitter for iPhone,85,63,1,0,No,10/22/14,,,View
5/18/16,@4jlwhite,John White,"At Belmont Manor, Students Discover Nature's Variety: ""I'm finding some cool stuff here,"" https://t.co/4eVSMcF0FL #EnviroEd #STEM",7.33E+17,Twitter Web Client,1104,994,0,0,No,10/24/09,"Maryland, USA","Kids are almost ready for college and career, not sure I am. Communications Director @HCPSS. Alum of @MdPublicSchools & @USEDgov. Views=Mine",View
3/25/16,@500eco,500eco,RT @EPA: Teachers - are you thinking about #EarthDay yet? Find activities for your classroom: https://t.co/TBQ5IEhhDl #EnviroEd #HowDoYouEa…,7.13E+17,TweetDeck,864,1116,19,0,No,5/10/12,"San Jose, CA, US","The best #sustainability showcase online! Share your actions, sustainable products, or topics on #green. Share. Inspire. Change.",View
3/15/16,@5intadewi,Sinta Dewi Sekarwati,RT @EnviroEducators: Interested in environmental education? Check out the upcoming #EnviroEd PD Day April 16 at @CKEnvCentre https://t.co/u…,7.10E+17,Twitter for BlackBerry,348,350,6,0,No,4/23/09,"Bekasi, West Java, Indonesia","I'm a wife, a mom, & a high school biology teacher You're never too old to set another goal or to dream a new dream",View
4/22/16,@6Veronicadr,Kendall Spooner,"RT @MHEducation: ""One touch of nature makes the whole world kin."" -Shakespeare | Happy #EarthDay 2016! #edchat #EnviroEd #green https://t.c…",7.24E+17,Twitter Web Client,582,3021,4,0,No,8/13/13,,watching too much TV.,View
3/31/16,@A_Dobbie11,Andrew Dobbie,RT @KinderKids123: Enjoyed our Skype read-aloud by @RangerRidley 2day!! 😊🌿Diary of a Worm (worm inquiry) #enviroed @PeelSchools https://t.c…,7.16E+17,Twitter for Android,464,148,3,0,No,11/30/11,brampton,"I love a good challenge! Edmodo Certified Trainer, Edmodo Ambassador(mrdobbie). Google Certified Educator. Finding ways to pay it forward:)",View
4/25/16,@A_Dobbie11,Andrew Dobbie,RT @RangerRidley: #peel21st Wetlands Study @GWFinlaysonFC using Aurasma #EnviroEd https://t.co/gvBWKChXna,7.25E+17,Twitter for Android,469,150,1,0,No,11/30/11,brampton,"I love a good challenge! Edmodo Certified Trainer, Edmodo Ambassador(mrdobbie). Google Certified Educator. Finding ways to pay it forward:)",View
4/22/16,@AACPS_PGD,AACPS Prof Dev,RT @MindShiftKQED: 5 @TED_ED Lessons to watch on #EarthDay! https://t.co/nFkgYTZg31 #edchat #scichat #enviroed,7.24E+17,Twitter for Android,242,169,13,0,No,11/22/13,Anne Arundel County,"Division of Professional Growth and Development, Anne Arundel County Public Schools",View
3/23/16,@AAPCA_States,AAPCA,RT @EPA: #EnviroEd teachers: Apply for our environmental educator award - submit your application by May 16: https://t.co/WAZ7co2Nry #PIAEE,7.13E+17,Twitter Web Client,417,553,11,0,No,8/5/14,"Lexington, KY","Official twitter account of the Association of Air Pollution Control Agencies, an organization of state and local air regulators. http://t.co/CPs4AJVEaE",View
5/9/16,@AAPCA_States,AAPCA,RT @EPA: #EnviroEd teachers: Apply for our environmental educator award - submit your application by May 16: https://t.co/WAZ7co2Nry #PIAEE,7.30E+17,Twitter Web Client,443,570,6,0,No,8/5/14,"Lexington, KY","Official twitter account of the Association of Air Pollution Control Agencies, an organization of state and local air regulators. http://t.co/CPs4AJVEaE",View
4/5/16,@AAPremlall,Anandi A. Premlall,A Generation of #Solutionaries with @ZoeWeil of @HumaneEducation + Matt Goldman @abchome on 4/21 https://t.co/Yhnu8oUWah #edchat #enviroed,7.18E+17,Twitter Web Client,10366,7198,0,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/14/16,@AAPremlall,Anandi A. Premlall,Awesome happenings w @BeyondOrganicD + #permaculture. #enviroed #edchat #itsinQueens #sustainability #EarthDay2016 https://t.co/LvuP3gjT7Z,7.21E+17,Twitter for Android,10442,7486,2,2,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/14/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: Thank you @RangerRidley! #enviroed https://t.co/70j5EXTPhf,7.21E+17,Twitter for Android,10442,7486,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/15/16,@AAPremlall,Anandi A. Premlall,Please show some love for my #permaculture friends in #Belize! https://t.co/WxDRx19SqS #sustainability #enviroed #agriculture #treehouse,7.21E+17,Twitter Web Client,10446,7557,0,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/15/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: Awesome happenings with our friends at Beyond Organic Design + #Permaculture + #EnviroEd + #Sustainability Join... https://t.…,7.21E+17,Twitter Web Client,10468,7578,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/15/16,@AAPremlall,Anandi A. Premlall,Tree Toolkit: Lessons and Educator Resources for Teaching About #Trees https://t.co/b1zKIay1xU #enviroed #nature https://t.co/FWJRjjQ9f6,7.21E+17,Twitter Web Client,10471,7581,0,1,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/27/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: Join #EnviroEd at the top of the hour! https://t.co/czFOrPbw6f,7.25E+17,Twitter Web Client,10571,7599,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
4/29/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: #EnviroEd chat is evolving https://t.co/2Ko4JJvLDi ... join @stevenbody & @ChrisVella2 on May 4th next week!,7.26E+17,Twitter for Android,10579,7631,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/6/16,@AAPremlall,Anandi A. Premlall,How cool is this?! #enviroed #urbanag #STEMeducation https://t.co/Va1SF9eDuI,7.29E+17,Twitter for Android,10722,8015,0,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/14/16,@AAPremlall,Anandi A. Premlall,#Bird Egg Identification Charts #birding via @Distractify https://t.co/bhC5qog6lK #nature #enviroed #outdoorfun https://t.co/SUFuI40vhF,7.32E+17,Twitter Web Client,10888,8146,0,1,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/15/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: We love Stephen + Lizette Ritz of @greenBXmachine! Si Se Puede! #urbanag #edchat #enviroed https://t.co/Rh7ySkzMYC,7.32E+17,Twitter Web Client,10905,8162,4,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/15/16,@AAPremlall,Anandi A. Premlall,Native #Bees of Eastern North America #nativebees #wildlife #pollinators #ecosystem #agriculture #enviroed https://t.co/vINZpH4hhx,7.32E+17,Twitter for Android,10915,8170,3,3,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/20/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: Thinking about #EnviroEd experiences for 2016-17? @PeelSchools Field Centres booking now for @JackSmytheFC @GWFinlaysonFC…,7.34E+17,Twitter for Android,10972,8242,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,"RT @RangerRidley: Teachers need to ask #EnviroEd providers to focus not only on curriculum but on Ss needs. Avoid ""boxed"" outdoor ed exper…",7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: We 💚 #biomimicry! #enviroed https://t.co/cbc229O7c9,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @PaulKelba: That's what one could call the sweet spot of #enviroed -repeated natural world visits-all season https://t.co/9kZSqqZZCi,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,"RT @RangerRidley: @AndrewkDoyle @PaulKelba An example of ""OutdoorEd Centres"" https://t.co/m4WsGNO8pa #EnviroEd",7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: @SustyQ Great high school program we run here ... quite popular for Business Depts & even faculties. #EnviroEd,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: A4 Training in children's permaculture. Also some personal + holistic development with Gaia University. We're total eco nerds!…,7.36E+17,Twitter for Android,11072,8426,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @doctormorrison: A2: I taught an #EnviroEd course for university students. Hope they learned that teaching should be interdisciplinary a…,7.36E+17,Twitter for Android,11072,8426,4,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: A2 We're planning a native pollinator seedbombing project on some abandoned land. Otherwise annual veggies + flowers w students…,7.36E+17,Twitter for Android,11072,8426,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @PaulKelba: A way to dig deep with #enviroed Yolanda is 'natural' inquiry https://t.co/9DVT4DiEds @ycedillo94,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: @SustyQ Love it ... Seed bombs can teach a lot - & allow for a personal connection to community &amp; #EnviroEd combined,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,"RT @PaulKelba: Quote of the #enviroed chat so far: "" planning a native pollinator seedbombing project "" @SustyQ ...do tell more https://t.…",7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @SustyQ: @PaulKelba We've been guerrilla gardening in NYC. 3.5 miles = a beautiful stretch of land that would come to life with flowers.…,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,RT @RangerRidley: That's the kind of enthusiasm we love in the #EnviroEd PLN ... like a sunbeam filtered through the forest canopy! https:…,7.36E+17,Twitter for Android,11072,8426,2,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,"RT @SustyQ: A5 Wow, there's a wealth of knowledge and experience under art + wellness + ecology and how it all intersects with our lives. #…",7.36E+17,Twitter for Android,11072,8426,1,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/25/16,@AAPremlall,Anandi A. Premlall,"RT @RangerRidley: Promoting #EnviroEd time in the classrooms ... #GeniusHour meets #FreePlay = creativity, character building, & appreciat…",7.36E+17,Twitter for Android,11072,8426,4,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
5/31/16,@AAPremlall,Anandi A. Premlall,Leaves of Sibley's Common #Trees of Eastern North America 🌳🌲 #enviroed #treelovers #treechat #urbanag #forestry https://t.co/xYn3SeFriJ,7.38E+17,Twitter for Android,11095,8472,0,0,No,1/8/10,ॐ | NYC | Caribbean | Earth,Educator. Grower. Zero Waste Warrior. Solutionary. Red Wiggler Mama. Rainbow Cookie Monster.,View
3/15/16,@aarniolinna,Essi Linnanvuori,I am learning to create #mobilelearning material - would appreciate tips of good ones to look at! #EnviroEd,7.10E+17,Twitter Web Client,306,556,2,2,No,3/5/13,"Helsinki, Finland","Essi Aarnio-Linnanvuori; PhD candidate @HelsinkiUni, environmental educator @WWFSuomi. Tweets are my own.",View
4/20/16,@aarniolinna,Essi Linnanvuori,Well this is an interesting special issue: The politics of policy in #ESD https://t.co/DhYPVmVfMn in JEE #EnviroEd,7.23E+17,Twitter Web Client,318,572,0,0,No,3/5/13,"Helsinki, Finland","Essi Aarnio-Linnanvuori; PhD candidate @HelsinkiUni, environmental educator @WWFSuomi. Tweets are my own.",View
